PlayerCode,Name,Name clean,Rating,Stars,First,Last,fuzzy_key
2005195,Dorian Munroe,Dorian Munroe,0.9,4,Dorian,Munroe,munianroedor
2005196,Josh Miller,Josh Miller,0.9,4,Josh,Miller,miloshlerjos
2005197,Erik Lorig,Erik Lorig,0.9,4,Erik,Lorig,lorrikrigeri
2005198,Cameron Morrah,Cameron Morrah,0.9,4,Cameron,Morrah,morronrahcam
2005199,A.J. Trump,AJ Trump,0.9,4,AJ,Trump,truajumpaj
2005200,Conredge Collins,Conredge Collins,0.9,4,Conredge,Collins,coldgeinscon
2005201,Brandon Harrison,Brandon Harrison,0.9,4,Brandon,Harrison,hardonsonbra
2005202,Andre Jones,Andre Jones,0.9,4,Andre,Jones,jondrenesand
2005203,Elan Lewis,Elan Lewis,0.9,4,Elan,Lewis,lewlanwisela
2005204,Andre Mathis,Andre Mathis,0.9,4,Andre,Mathis,matdrehisand
2005205,Luqman Abdallah,Luqman Abdallah,0.9,4,Luqman,Abdallah,abdmanlahluq
2005206,Jorvorskie Lane,Jorvorskie Lane,0.9,4,Jorvorskie,Lane,lankieanejor
2005207,Kevin Thornton,Kevin Thornton,0.9,4,Kevin,Thornton,thovintonkev
2005208,Bruce Johnson,Bruce Johnson,0.9,4,Bruce,Johnson,johucesonbru
2005209,Chris Hawkins,Chris Hawkins,0.9,4,Chris,Hawkins,hawrisinschr
2005210,Brandon Sesay,Brandon Sesay,0.9,4,Brandon,Sesay,sesdonsaybra
2005211,Jonathan Lewis,Jonathan Lewis,0.9,4,Jonathan,Lewis,lewhanwisjon
2005212,Ryan Bain,Ryan Bain,0.9,4,Ryan,Bain,baiyanainrya
2005213,Terry Longbons,Terry Longbons,0.9,4,Terry,Longbons,lonrryonster
2005214,Jason Kacinko,Jason Kacinko,0.9,4,Jason,Kacinko,kacsonnkojas
2005215,Mike Moore,Mike Moore,0.9,4,Mike,Moore,mooikeoremik
2005216,Zack Follett,Zack Follett,0.9,4,Zack,Follett,folackettzac
2005217,Christopher Barney,Christopher Barney,0.9,4,Christopher,Barney,barherneychr
2005218,Montez Billings,Montez Billings,0.9,4,Montez,Billings,biltezngsmon
2005219,Ishie Oduegwu,Ishie Oduegwu,0.9,4,Ishie,Oduegwu,oduhiegwuish
2005220,Dan Foster,Dan Foster,0.9,4,Dan,Foster,fosdanterdan
2005221,James McGillicuddy,James McGillicuddy,0.9,4,James,McGillicuddy,mcgmesddyjam
